gene_id,GSM9000017,GSM9000018,GSM9000019,GSM9000020,GSM9000021,GSM9000022
Gm10361,7.1326,6.8652,7.2075,7.0704,6.7167,7.3613
Gm10362,4.4371,4.3207,4.3458,4.413,4.5954,4.6941
Gm10363,4.2443,4.3898,3.9076,4.5302,4.0217,4.2472
Gm10364,9.8644,9.3955,8.7776,9.5228,9.103,8.9921
Gm10365,6.2351,5.5362,5.7548,5.4668,5.9275,5.5986
Gm10366,8.9646,8.7992,9.1897,8.583,8.7073,9.3667
Gm10367,6.5162,6.7583,6.8102,7.1614,7.103,7.4432
Gm10368,5.734,6.2356,5.8047,5.9686,6.4501,5.7057
Gm10369,5.5189,5.243,5.1482,4.5468,4.9197,4.7565
Gm10370,5.9954,5.7203,5.978,5.7424,6.0191,6.3941
Gm10371,2.8027,2.5621,3.052,2.44,2.9991,3.1488
Gm10372,3.4653,3.7115,2.9823,3.42,3.6603,3.6138
Gm10373,3.9873,3.8601,3.9136,4.5298,4.0552,3.4819
Gm10374,7.3987,7.0532,7.2965,6.9195,6.8777,6.7652
Gm10375,9.6192,10.1732,10.1779,9.7205,9.934,10.3239
Gm10376,5.2562,5.6101,5.0501,4.9937,5.62,5.0384
Gm10377,4.511,4.2527,3.9627,4.3381,3.6408,4.3994
Gm10378,5.6885,5.2666,5.6295,5.1747,5.801,5.4402
Gm10379,5.254,5.2667,5.2224,5.3637,5.1278,4.6294
Gm10380,7.5754,7.3367,7.2339,7.2952,7.5884,7.2637
Gm10381,4.1448,4.4384,4.296,4.0712,4.3744,4.3532
Gm10382,4.7859,4.6201,4.6616,4.2991,4.3797,4.6403
Gm10383,5.1292,5.3986,5.4128,5.3839,5.118,5.3655
Gm10384,5.5979,5.6875,5.7227,5.3706,6.1687,5.6377
Gm10385,7.2792,7.1256,7.6835,7.7633,7.3362,7.2088
Gm10386,8.3576,7.6667,7.964,7.5638,8.143,8.1938
Gm10387,5.8137,6.2379,6.3558,6.312,5.8239,6.2361
Gm10388,5.325,5.0278,5.1442,5.3072,5.5922,5.3914
Gm10389,4.7927,5.2037,5.6516,5.1329,5.5743,5.4427
Gm10390,5.0679,4.8146,5.0208,4.7965,5.212,4.8802
Gm10391,7.5068,7.4045,7.4654,7.5391,7.5889,7.5093
Gm10392,4.8377,4.5678,4.542,4.7239,4.5195,4.7571
Gm10393,3.204,2.7655,2.6816,2.8501,3.0286,2.7942
Gm10394,5.1453,4.9867,5.1792,5.197,5.4954,5.1402
Gm10395,5.4731,5.948,6.2582,5.8028,5.8783,6.3261
Gm10396,5.5502,5.5065,5.3543,5.6768,5.4555,5.7332
Gm10397,6.3663,6.2132,6.3165,6.3815,6.2766,6.2532
Gm10398,5.3013,5.14,5.7385,5.6689,5.5692,5.4325
Gm10399,5.7718,5.7238,6.0514,5.6494,5.2727,5.6739
Gm10400,3.8155,3.845,4.3364,4.4097,3.85,4.0159
Gm10401,8.9982,9.1756,8.6885,9.1366,8.9902,8.955
Gm10402,8.2602,7.6111,7.8043,7.9168,7.9464,7.9574
Gm10403,5.9961,6.3485,6.19,6.2341,5.7917,5.835
Gm10404,6.3352,6.7631,6.8625,6.7269,6.7291,6.4913
Gm10405,3.8601,3.6031,3.4312,3.9572,3.8498,4.0311
Gm10406,3.7565,3.3032,3.6389,3.8485,3.4255,3.5386
Gm10407,4.9062,4.6498,4.6868,4.3344,4.3089,4.858
Gm10408,4.208,3.8268,3.9252,4.071,4.0341,4.1696
Gm10409,7.0192,7.3217,7.3883,7.4071,7.1356,7.1892
Gm10410,6.4292,6.1197,6.2807,6.1896,6.2556,6.2064
Gm10411,8.7583,8.7281,8.5014,8.2456,8.9656,8.7149
Gm10412,3.6444,3.5428,3.4041,3.8244,3.6299,3.9575
Gm10413,5.847,5.9633,5.7665,5.9946,5.6517,5.9504
Gm10414,6.3602,6.0573,5.7855,6.1445,6.0998,5.7338
Gm10415,5.9229,5.8931,5.6817,5.7203,5.5032,5.6024
Gm10416,7.4806,7.8444,7.2901,7.0655,7.3254,7.6865
Gm10417,5.7308,5.9063,5.6936,5.8814,5.2303,5.4183
Gm10418,4.456,4.3051,4.5212,4.4308,4.4513,4.7365
Gm10419,7.5766,7.7874,7.5357,7.7052,7.3434,7.7079
Gm10420,6.9615,6.8371,6.5919,7.0542,7.0274,7.4705
Gm10421,8.6765,7.833,8.5717,8.1387,8.7876,8.2439
Gm10422,4.692,4.2541,4.5706,4.3084,4.8382,5.2727
Gm10423,5.7295,6.028,5.9497,5.5215,5.8135,5.7971
Gm10424,8.3648,8.3012,7.9123,8.3552,8.18,8.7625
Gm10425,9.6573,9.7321,9.035,9.8024,9.5071,9.7319
Gm10426,4.9708,4.6222,4.3181,5.1249,4.6935,4.4939
Gm10427,4.1252,4.5433,4.2423,4.5671,4.6648,4.2848
Gm10428,4.8122,4.2207,5.0512,4.7023,4.5445,4.5279
Gm10429,6.9987,6.6198,6.8806,7.3841,7.0437,6.8517
Gm10430,6.274,5.8771,6.2935,6.0282,6.4144,6.0176
Gm10431,7.8234,7.7053,7.4158,7.4432,7.9937,7.62
Gm10432,6.2618,5.7087,5.9717,5.9776,6.1782,6.1897
Gm10433,5.5649,5.4104,5.1233,5.3919,5.4394,5.9151
Gm10434,5.731,5.9687,5.488,5.7896,5.5425,5.8674
Gm10435,4.941,4.6978,4.6974,4.9518,4.737,4.7853
Gm10436,5.729,5.6,5.7005,5.7615,6.143,5.8135
Gm10437,4.6887,4.6595,4.1633,4.161,4.5263,4.4671
Gm10438,3.2685,3.0244,3.2833,3.3886,3.2311,3.2212
Gm10439,6.6191,6.5631,6.4374,6.6419,6.4668,6.4386
Gm10440,6.4565,6.1667,5.958,6.7492,6.2611,6.7346
Gm10441,8.1109,7.4518,7.4235,7.622,7.6421,7.8945
Gm10442,7.0522,7.0112,6.915,7.3797,7.5804,7.4145
Gm10443,5.3999,4.5935,4.6417,5.2315,4.9816,5.0677
Gm10444,7.8612,7.9508,8.5061,8.0591,8.4648,8.564
Gm10445,4.6919,5.1909,5.1111,4.9131,4.9474,4.8701
Gm10446,3.2294,3.5706,3.4799,3.4145,3.15,3.7992
Gm10447,11.2902,10.7549,10.6258,10.5471,10.8659,10.4284
Gm10448,5.6033,5.5448,5.5836,5.7579,5.7227,5.7537
Gm10449,3.2589,3.0547,2.8969,3.1735,2.722,2.6048
Gm10450,5.1719,4.9137,4.56,5.1795,4.5517,4.6724
Gm10451,3.4819,3.0599,3.3493,3.5952,3.2927,2.8395
Gm10452,8.7853,9.1321,9.0406,9.1738,8.7272,9.1806
Gm10453,8.6989,8.7977,8.6128,9.4423,8.8697,9.1579
Gm10454,4.9854,4.9424,5.4366,5.2489,4.5994,5.0944
Gm10455,4.8819,4.5626,4.4343,4.7966,4.189,4.4414
Gm10456,5.8367,5.7128,5.7936,5.4996,5.6724,5.4032
Gm10457,6.8262,6.9875,6.6741,6.6145,6.7874,6.3955
Gm10458,4.2154,3.9317,3.8091,4.1951,3.6325,3.9752
Gm10459,7.9075,7.2074,7.5682,7.3802,8.0628,7.7099
Gm10460,3.1775,3.2838,3.5143,3.3436,3.5592,3.3387
Gm10461,8.9099,8.821,9.3492,9.3854,9.3257,9.3495
Gm10462,6.8092,6.1984,6.8828,6.6708,6.9271,6.7043
Gm10463,5.5787,6.4984,6.3758,5.7766,5.9049,6.0846
Gm10464,7.0204,6.7403,7.0434,6.7816,7.1883,6.9325
Gm10465,7.4346,7.4307,7.637,7.5101,7.5891,7.5352
Gm10466,6.2576,6.111,5.9537,6.3094,5.7139,6.0765
Gm10467,5.277,5.2825,5.9372,5.7691,5.0911,5.6515
Gm10468,7.6902,7.6235,8.0432,7.9121,8.0614,7.2648
Gm10469,7.0077,6.8573,7.2174,6.6341,6.9406,7.0927
Gm10470,6.3742,5.7825,5.8552,5.3432,5.4976,6.1952
Gm10471,6.5872,6.7911,6.7772,6.5004,6.5718,6.7442
Gm10472,8.6956,9.1577,8.6583,8.9522,9.1627,9.0842
Gm10473,5.429,5.1239,4.7146,5.2445,4.7645,5.0164
Gm10474,10.0597,9.8509,10.2738,9.7338,10.1614,10.4257
Gm10475,5.9108,6.039,5.8253,5.6271,5.9528,6.0618
Gm10476,4.5239,4.5942,4.3344,4.1984,4.2012,4.6296
Gm10477,4.4573,4.6497,5.3892,5.3012,4.3517,5.0861
Gm10478,4.131,3.8468,3.3071,3.3932,3.9868,3.4913
Gm10479,3.3977,3.9819,3.8384,3.5373,3.5104,3.5725
Gm10480,4.0137,3.9485,3.6753,3.6461,4.6191,4.3976
Gm10481,3.518,3.4001,3.6535,3.46,3.114,3.9387
Gm10482,3.9746,4.2415,3.9018,3.8958,3.9703,4.4228
Gm10483,8.8831,9.4865,9.2712,9.4456,9.0461,9.9689
Gm10484,4.8912,5.2001,5.1099,5.4916,5.2809,5.3627
Gm10485,4.3597,4.006,3.7407,4.1904,4.0603,4.0945
Gm10486,6.06,5.8381,5.7296,6.1802,5.394,5.7403
Gm10487,3.8505,3.4367,3.705,3.7818,4.1222,3.578
Gm10488,4.6882,4.4771,4.8526,4.5821,5.1535,4.3192
Gm10489,4.6897,4.4554,4.6869,4.7492,4.7707,4.5907
Gm10490,7.7621,8.1515,8.3129,7.9346,8.3225,8.0541
Gm10491,5.7207,5.7315,6.2156,5.395,5.872,6.0416
Gm10492,8.4378,8.5422,9.2883,8.9951,9.1086,8.4048
Gm10493,4.417,4.7433,3.7361,4.5268,4.2495,4.6327
Gm10494,2.9007,3.1642,2.8134,3.1637,2.7224,2.7654
Gm10495,5.7218,5.3227,5.3293,5.3938,5.567,5.4633
Gm10496,7.45,6.7683,6.713,7.1695,6.9498,6.9956
Gm10497,3.6132,3.2356,3.2723,3.0972,3.5198,3.2178
Gm10498,9.1895,9.6028,9.3999,9.8997,9.2817,9.1914
Gm10499,9.5983,9.6368,9.158,9.8187,10.0697,9.609
Gm10500,9.7223,9.5368,10.0716,9.4568,9.4781,9.0112
Gm10501,4.9443,5.1484,4.9829,5.1829,5.0371,5.3581
Gm10502,5.5,5.8585,5.8291,5.8686,5.6071,5.938
Gm10503,6.29,7.1042,7.4974,6.963,6.9662,6.94
Gm10504,5.8617,5.5563,5.3368,4.9884,5.3958,5.4035
Gm10505,5.1721,4.982,5.229,5.0924,4.71,4.787
Gm10506,8.0576,8.0071,7.6569,8.1469,8.1104,7.7326
Gm10507,5.6662,5.74,5.4575,5.1252,5.1449,4.8184
Gm10508,3.5211,3.7281,3.4826,2.9286,3.4352,3.8176
Gm10509,10.1185,9.8282,9.8005,10.1351,10.103,10.0288
Gm10510,5.7574,5.2768,5.6757,5.5099,5.3542,5.6115
Gm10511,3.7827,3.5738,3.3645,3.7697,3.1429,3.7297
Gm10512,5.0264,5.5505,5.0811,5.1729,5.0002,5.2438
Gm10513,4.3488,3.9646,3.8298,4.2469,4.6628,4.1567
Gm10514,5.9435,6.4222,6.1049,5.8775,6.5616,6.2391
Gm10515,5.2606,5.3156,5.6518,5.2008,5.6923,5.5613
Gm10516,6.0229,5.6957,5.804,5.9296,5.6516,5.7856
Gm10517,5.5408,5.7461,5.3582,5.3553,5.3498,5.8967
Gm10518,10.7515,10.8694,11.1475,10.9202,10.9256,10.3843
Gm10519,4.7438,4.8151,5.0203,4.7477,4.2969,5.2808
Gm10520,7.7384,8.0003,8.1741,8.2322,7.83,7.5802
Gm10521,10.0984,9.7178,10.1249,9.7705,9.867,10.0664
Gm10522,9.8531,9.8075,10.4761,10.134,9.6788,10.2813
Gm10523,6.9311,6.6348,6.3861,7.0385,7.2021,6.9499
Gm10524,6.808,6.5909,6.9693,6.4322,6.706,6.8622
Gm10525,4.388,4.2967,4.1891,4.5142,4.2874,4.1715
Gm10526,9.0897,8.4832,8.7172,8.8829,8.3931,8.438
Gm10527,5.3979,5.134,5.0317,5.3693,5.9897,5.2882
Gm10528,3.3263,3.7395,3.347,3.6246,3.4497,3.8606
Gm10529,5.8169,6.2907,6.5243,5.7846,5.4466,6.022
Gm10530,8.8157,9.1117,8.7152,8.3843,8.5196,8.3381
Gm10531,5.7387,6.4364,6.8408,6.3377,5.6407,6.1213
Gm10532,6.2203,6.2245,6.3488,5.7021,6.5853,6.2797
Gm10533,5.0561,5.4041,5.1428,4.9275,4.9415,4.8074
Gm10534,2.8474,3.0275,2.911,3.0158,2.9805,2.9731
Gm10535,10.6235,10.5754,10.7287,10.4063,10.3658,10.3613
Gm10536,5.1797,5.462,5.342,5.1073,5.4304,5.9527
Gm10537,11.2493,11.5258,11.4467,11.23,11.3958,11.643
Gm10538,8.6695,9.6361,9.1923,9.5393,8.9564,8.686
Gm10539,7.4639,7.614,7.8212,7.5778,7.1012,7.3723
Gm10540,4.4715,4.3653,4.6824,5.0019,4.6086,4.9
Gm10541,7.1167,7.0641,7.0452,6.8664,7.0624,6.8677
Gm10542,7.5026,7.223,7.566,7.2365,7.4959,7.2124
Gm10543,5.215,5.017,5.3465,5.2507,4.9284,4.9244
Gm10544,4.1832,4.2177,4.5784,4.4147,4.0743,4.3012
Gm10545,5.4716,5.1703,5.6871,5.1178,4.8679,5.0221
Gm10546,6.0176,6.0674,6.1902,6.3377,6.1482,6.4551
Gm10547,4.2648,4.1444,4.8369,4.2924,4.7724,4.5614
Gm10548,9.5104,9.6672,9.6356,10.1274,10.1031,10.2159
Gm10549,7.0694,6.3748,6.624,6.3052,6.7914,6.7228
Gm10550,9.4358,9.2533,9.5709,9.7947,8.9498,9.9929
Gm10551,6.0341,6.4176,5.8441,6.5472,6.237,6.1425
Gm10552,8.8368,8.9026,8.8211,8.5115,8.542,8.8056
Gm10553,8.2406,7.9445,7.593,7.3754,7.8623,7.8373
Gm10554,4.8199,4.8143,4.7185,4.4452,4.9983,4.8353
Gm10555,5.3812,5.501,5.4238,5.6719,5.4422,5.9092
Gm10556,4.8833,4.9854,4.8753,4.8092,5.2126,4.8508
Gm10557,7.5549,7.7499,7.9459,7.6648,7.9766,7.7308
Gm10558,4.7284,5.1565,4.985,5.1544,5.0774,5.7645
Gm10559,3.234,3.5238,3.1286,3.7828,2.9739,3.0313
