gene_id,log2fc,pvalue,padj,base_mean
Gm10506,0.8338,0.0371579,0.646985,328.104
Gm10507,-0.1467,0.792746,0.961692,863.373
Gm10508,0.6805,0.0800473,0.75219,122.489
Gm10509,-0.164,0.76295,0.955225,869.047
Gm10510,-0.0585,0.724264,0.946939,64.561
Gm10511,-0.3046,0.218584,0.84859,636.827
Gm10512,-0.0629,0.958115,0.981468,56.465
Gm10513,0.1341,0.47929,0.906469,482.7
Gm10514,-0.7966,0.060295,0.690752,37.847
Gm10515,0.1303,0.685247,0.946939,325.484
Gm10516,-0.1129,0.484895,0.906469,248.92
Gm10517,-0.379,0.381936,0.892319,1387.534
Gm10518,-0.2249,0.391604,0.892319,1363.637
Gm10519,-0.1659,0.399489,0.892319,2790.638
Gm10520,0.2149,0.565696,0.906469,68.812
Gm10521,0.0864,0.731415,0.946939,48.016
Gm10522,0.2808,0.761793,0.955225,667.209
Gm10523,-0.1805,0.420824,0.892931,360.622
Gm10524,0.0798,0.828163,0.973699,111.622
Gm10525,0.5047,0.108162,0.809878,290.715
Gm10526,-0.2492,0.386772,0.892319,426.046
Gm10527,0.4958,0.146377,0.809878,91.986
Gm10528,-0.647,0.524769,0.906469,20.642
Gm10529,-0.4709,0.121854,0.809878,269.78
Gm10530,0.1397,0.592579,0.906469,52.588
Gm10531,-0.1437,0.530077,0.906469,423.811
Gm10532,-0.278,0.412067,0.892319,271.995
Gm10533,-0.2958,0.704639,0.946939,77.938
Gm10534,-0.1604,0.424134,0.894382,2635.49
Gm10535,-0.3976,0.0683051,0.690752,680.135
Gm10536,0.2071,0.403901,0.892319,3799.235
Gm10537,0.2967,0.283259,0.84859,79.851
Gm10538,0.3254,0.238913,0.84859,121.432
Gm10539,0.285,0.480599,0.906469,1564.152
Gm10540,0.1969,0.361291,0.889946,6938.947
Gm10541,0.1951,0.409176,0.892319,340.914
Gm10542,0.0877,0.541202,0.906469,2463.219
Gm10543,-0.0241,0.905579,0.981468,925.584
Gm10544,0.1585,0.629694,0.912762,510.078
Gm10545,-0.5191,0.0139046,0.411576,620.709
Gm10546,0.1071,0.757259,0.955225,259.171
Gm10547,-0.4018,0.243956,0.84859,49.408
Gm10548,0.0071,0.521758,0.906469,28.744
Gm10549,-0.0808,0.878793,0.973699,168.932
Gm10550,-0.1837,0.0772784,0.737884,1202.618
Gm10551,-0.3142,0.246472,0.84859,665.381
Gm10552,0.4397,0.157942,0.809878,53.892
Gm10553,0.0924,0.835468,0.973699,2527.873
Gm10554,-0.4009,0.488669,0.906469,1653.491
Gm10555,-0.3186,0.0621932,0.690752,191.468
Gm10556,0.1741,0.522941,0.906469,62.039
Gm10557,-0.6665,0.112033,0.809878,153.544
Gm10558,0.1931,0.629613,0.912762,303.208
Gm10559,0.2063,0.342343,0.869815,439.089
